id,Country,Time,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
GM0040,Slochteren,per Neutral,0.177645742,0.177645742,0.177645742,0.177645742,0.177645742,0.177645742,0.177645742,0.177645742,0.177645742,0.177645742,0.177645742
GM0040,Slochteren,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0047,Veendam,Total,17149.0,17149.0,17149.0,17149.0,17149.0,17149.0,17149.0,17149.0,17149.0,17149.0,17149.0
GM0047,Veendam,per Neutral,0.218884513,0.218884513,0.218884513,0.218884513,0.218884513,0.218884513,0.218884513,0.218884513,0.218884513,0.218884513,0.218884513
GM0047,Veendam,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0048,Vlagtwedde,Total,10125.0,10125.0,10125.0,10125.0,10125.0,10125.0,10125.0,10125.0,10125.0,10125.0,10125.0
GM0048,Vlagtwedde,per Neutral,0.208120631,0.208120631,0.208120631,0.208120631,0.208120631,0.208120631,0.208120631,0.208120631,0.208120631,0.208120631,0.208120631
GM0048,Vlagtwedde,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0050,Zeewolde,Total,13361.0,13361.0,13361.0,13361.0,13361.0,13361.0,13361.0,13361.0,13361.0,13361.0,13361.0
GM0050,Zeewolde,per Neutral,0.142371141,0.142371141,0.142371141,0.142371141,0.142371141,0.142371141,0.142371141,0.142371141,0.142371141,0.142371141,0.142371141
GM0050,Zeewolde,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0053,Winsum,Total,9076.0,9076.0,9076.0,9076.0,9076.0,9076.0,9076.0,9076.0,9076.0,9076.0,9076.0
GM0053,Winsum,per Neutral,0.133212028,0.133212028,0.133212028,0.133212028,0.133212028,0.133212028,0.133212028,0.133212028,0.133212028,0.133212028,0.133212028
GM0053,Winsum,Biggest Party,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
GM0056,Zuidhorn,Total,12505.0,12505.0,12505.0,12505.0,12505.0,12505.0,12505.0,12505.0,12505.0,12505.0,12505.0
GM0056,Zuidhorn,per Neutral,0.120634921,0.120634921,0.120634921,0.120634921,0.120634921,0.120634921,0.120634921,0.120634921,0.120634921,0.120634921,0.120634921
GM0056,Zuidhorn,Biggest Party,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
GM0058,Dongeradeel,Total,15180.0,15180.0,15180.0,15180.0,15180.0,15180.0,15180.0,15180.0,15180.0,15180.0,15180.0
GM0058,Dongeradeel,per Neutral,0.182441553,0.182441553,0.182441553,0.182441553,0.182441553,0.182441553,0.182441553,0.182441553,0.182441553,0.182441553,0.182441553
GM0058,Dongeradeel,Biggest Party,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
GM0059,Achtkarspelen,Total,17095.0,17095.0,17095.0,17095.0,17095.0,17095.0,17095.0,17095.0,17095.0,17095.0,17095.0
GM0059,Achtkarspelen,per Neutral,0.204459579,0.204459579,0.204459579,0.204459579,0.204459579,0.204459579,0.204459579,0.204459579,0.204459579,0.204459579,0.204459579
GM0059,Achtkarspelen,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0060,Ameland,Total,2755.0,2755.0,2755.0,2755.0,2755.0,2755.0,2755.0,2755.0,2755.0,2755.0,2755.0
GM0060,Ameland,per Neutral,0.021314387,0.021314387,0.021314387,0.021314387,0.021314387,0.021314387,0.021314387,0.021314387,0.021314387,0.021314387,0.021314387
