,WK_CODE,Country,Time,2017,2018,2019
199,WK168013,Wijk 13 Eexterzandvoort,act fat per,nan,nan,nan
202,WK168013,Wijk 13 Eexterzandvoort,biggest party,nan,nan,nan
203,WK168013,Wijk 13 Eexterzandvoort,biggest party name,nan,nan,nan
212,WK168014,Wijk 14 Gasselte,act ind per,0.365385,0.365385,0.365385
213,WK168014,Wijk 14 Gasselte,act ega per,0.205929,0.205929,0.205929
214,WK168014,Wijk 14 Gasselte,act col per,0.244391,0.244391,0.244391
215,WK168014,Wijk 14 Gasselte,act fat per,0.124199,0.124199,0.124199
218,WK168014,Wijk 14 Gasselte,biggest party,0.24519200000000002,0.24519200000000002,0.24519200000000002
219,WK168014,Wijk 14 Gasselte,biggest party name,1.0,1.0,1.0
228,WK168015,Wijk 15 Gasselternijveen,act ind per,0.254653,0.233825,0.212996
229,WK168015,Wijk 15 Gasselternijveen,act ega per,0.188663,0.16533,0.141998
230,WK168015,Wijk 15 Gasselternijveen,act col per,0.280034,0.269379,0.25872399999999995
231,WK168015,Wijk 15 Gasselternijveen,act fat per,0.21489,0.21635,0.21781
234,WK168015,Wijk 15 Gasselternijveen,biggest party,0.19458499999999998,0.145428,0.184116
235,WK168015,Wijk 15 Gasselternijveen,biggest party name,3.0,3.0,7.0
244,WK168016,Wijk 16 Gasselternijveenschemond,act ind per,0.36225599999999997,0.312226,0.26219499999999996
245,WK168016,Wijk 16 Gasselternijveenschemond,act ega per,0.158351,0.14929800000000001,0.140244
246,WK168016,Wijk 16 Gasselternijveenschemond,act col per,0.24728899999999998,0.201388,0.15548800000000002
247,WK168016,Wijk 16 Gasselternijveenschemond,act fat per,0.177874,0.253571,0.329268
250,WK168016,Wijk 16 Gasselternijveenschemond,biggest party,0.19522799999999998,0.133442,0.24085399999999998
251,WK168016,Wijk 16 Gasselternijveenschemond,biggest party name,5.0,12.0,12.0
260,WK168017,Wijk 17 Gieten,act ind per,0.37711300000000003,0.37711300000000003,0.37711300000000003
261,WK168017,Wijk 17 Gieten,act ega per,0.241064,0.241064,0.241064
262,WK168017,Wijk 17 Gieten,act col per,0.219728,0.219728,0.219728
263,WK168017,Wijk 17 Gieten,act fat per,0.102521,0.102521,0.102521
