,WK_CODE,Country,Time,2017,2018,2019
9302,WK168402,Katwijk,act col per,0.188119,0.196143,0.20416700000000002
9303,WK168402,Katwijk,act fat per,0.12211199999999998,0.157931,0.19375
9306,WK168402,Katwijk,biggest party,0.24422399999999997,0.23252899999999999,0.220833
9307,WK168402,Katwijk,biggest party name,2.0,2.0,2.0
9316,WK168403,Vianen,act ind per,0.391813,0.373634,0.355455
9317,WK168403,Vianen,act ega per,0.167251,0.14726199999999998,0.127273
9318,WK168403,Vianen,act col per,0.252632,0.197225,0.141818
9319,WK168403,Vianen,act fat per,0.130994,0.172315,0.21363600000000002
9322,WK168403,Vianen,biggest party,0.22105300000000003,0.196555,0.20363599999999998
9323,WK168403,Vianen,biggest party name,5.0,2.0,2.0
9332,WK168404,Beers,act ind per,0.492487,0.492487,0.492487
9333,WK168404,Beers,act ega per,0.164441,0.164441,0.164441
9334,WK168404,Beers,act col per,0.17946600000000001,0.17946600000000001,0.17946600000000001
9335,WK168404,Beers,act fat per,0.1202,0.1202,0.1202
9338,WK168404,Beers,biggest party,0.250417,0.250417,0.250417
9339,WK168404,Beers,biggest party name,1.0,1.0,1.0
9348,WK168406,Cuijk,act ind per,0.30540100000000003,0.277863,0.25032600000000005
9349,WK168406,Cuijk,act ega per,0.263365,0.254562,0.245759
9350,WK168406,Cuijk,act col per,0.24380900000000003,0.23358299999999999,0.223358
9351,WK168406,Cuijk,act fat per,0.141278,0.168181,0.19508499999999998
9354,WK168406,Cuijk,biggest party,0.200219,0.167639,0.13505899999999998
9355,WK168406,Cuijk,biggest party name,5.0,5.0,5.0
9364,WK168411,Haps,act ind per,0.435974,0.435974,0.435974
9365,WK168411,Haps,act ega per,0.15196800000000002,0.15196800000000002,0.15196800000000002
9366,WK168411,Haps,act col per,0.22670700000000002,0.22670700000000002,0.22670700000000002
9367,WK168411,Haps,act fat per,0.13353299999999999,0.13353299999999999,0.13353299999999999
9370,WK168411,Haps,biggest party,0.238166,0.238166,0.238166
9371,WK168411,Haps,biggest party name,1.0,1.0,1.0
9380,WK168414,Sint Agatha,act ind per,0.474576,0.43962299999999993,0.404669
9381,WK168414,Sint Agatha,act ega per,0.21751399999999999,0.219652,0.22179000000000001
9382,WK168414,Sint Agatha,act col per,0.169492,0.145057,0.12062300000000001
9383,WK168414,Sint Agatha,act fat per,0.10169500000000001,0.13255999999999998,0.163424
9386,WK168414,Sint Agatha,biggest party,0.25141199999999997,0.229913,0.24513600000000002
9387,WK168414,Sint Agatha,biggest party name,1.0,2.0,2.0
9396,WK021600,Wijk 00,act ind per,0.331054,0.290715,0.25037600000000004
9397,WK021600,Wijk 00,act ega per,0.334897,0.361452,0.388007
9398,WK021600,Wijk 00,act col per,0.136626,0.126272,0.11591800000000001
9399,WK021600,Wijk 00,act fat per,0.156063,0.180754,0.205445
9402,WK021600,Wijk 00,biggest party,0.207538,0.175341,0.199933
9403,WK021600,Wijk 00,biggest party name,1.0,1.0,6.0
9412,WK014801,Dalfsen,act ind per,0.598476,0.557769,0.517063
9413,WK014801,Dalfsen,act ega per,0.14297100000000001,0.163198,0.183425
9414,WK014801,Dalfsen,act col per,0.109507,0.103809,0.09811089999999999
9415,WK014801,Dalfsen,act fat per,0.114729,0.14252599999999999,0.170323
9418,WK014801,Dalfsen,biggest party,0.31748899999999997,0.297075,0.276661
9419,WK014801,Dalfsen,biggest party name,2.0,2.0,2.0
9428,WK014802,Nieuwleusen,act ind per,0.598476,0.544229,0.489982
9429,WK014802,Nieuwleusen,act ega per,0.14297100000000001,0.118237,0.0935033
9430,WK014802,Nieuwleusen,act col per,0.109507,0.10955,0.10959300000000001
9431,WK014802,Nieuwleusen,act fat per,0.114729,0.188208,0.26168800000000003
9434,WK014802,Nieuwleusen,biggest party,0.31748899999999997,0.26849,0.21949000000000002
9435,WK014802,Nieuwleusen,biggest party name,2.0,2.0,2.0
9444,WK014803,Lemelerveld,act ind per,0.598476,0.559368,0.520259
9445,WK014803,Lemelerveld,act ega per,0.14297100000000001,0.135505,0.12803900000000001
9446,WK014803,Lemelerveld,act col per,0.109507,0.09891860000000001,0.08833060000000001
9447,WK014803,Lemelerveld,act fat per,0.114729,0.16230799999999998,0.209887
9450,WK014803,Lemelerveld,biggest party,0.31748899999999997,0.327707,0.337925
9451,WK014803,Lemelerveld,biggest party name,2.0,2.0,2.0
9460,WK189100,Wijk 00 Centrum,act ind per,0.45933199999999996,0.438651,0.41797
9461,WK189100,Wijk 00 Centrum,act ega per,0.11218,0.08755589999999999,0.062932
9462,WK189100,Wijk 00 Centrum,act col per,0.18091400000000002,0.140657,0.1004
9463,WK189100,Wijk 00 Centrum,act fat per,0.20877199999999999,0.257533,0.306293
9466,WK189100,Wijk 00 Centrum,biggest party,0.258519,0.247484,0.23645
9467,WK189100,Wijk 00 Centrum,biggest party name,2.0,2.0,2.0
9476,WK189101,Wijk 01 Oost,act ind per,0.45933199999999996,0.453546,0.44776099999999996
9477,WK189101,Wijk 01 Oost,act ega per,0.11218,0.0811432,0.050106599999999994
9478,WK189101,Wijk 01 Oost,act col per,0.18091400000000002,0.12777,0.0746269
9479,WK189101,Wijk 01 Oost,act fat per,0.20877199999999999,0.27869299999999997,0.348614
9482,WK189101,Wijk 01 Oost,biggest party,0.258519,0.24759699999999998,0.23667399999999997
9483,WK189101,Wijk 01 Oost,biggest party name,2.0,2.0,2.0
9492,WK189102,Wijk 02 Zuid,act ind per,0.45933199999999996,0.37652399999999997,0.293717
9493,WK189102,Wijk 02 Zuid,act ega per,0.11218,0.105674,0.0991673
9494,WK189102,Wijk 02 Zuid,act col per,0.18091400000000002,0.17410599999999998,0.167297
9495,WK189102,Wijk 02 Zuid,act fat per,0.20877199999999999,0.251623,0.29447399999999996
9498,WK189102,Wijk 02 Zuid,biggest party,0.258519,0.205717,0.161494
9499,WK189102,Wijk 02 Zuid,biggest party name,2.0,2.0,12.0
9508,WK189103,Wijk 03 West,act ind per,0.45933199999999996,0.45933199999999996,0.45933199999999996
9509,WK189103,Wijk 03 West,act ega per,0.11218,0.11218,0.11218
9510,WK189103,Wijk 03 West,act col per,0.18091400000000002,0.18091400000000002,0.18091400000000002
9511,WK189103,Wijk 03 West,act fat per,0.20877199999999999,0.20877199999999999,0.20877199999999999
9514,WK189103,Wijk 03 West,biggest party,0.258519,0.258519,0.258519
9515,WK189103,Wijk 03 West,biggest party name,2.0,2.0,2.0
9524,WK050311,Wijk 11 Binnenstad,act ind per,0.277958,0.26374699999999995,0.24953699999999998
9525,WK050311,Wijk 11 Binnenstad,act ega per,0.5375939999999999,0.518241,0.498889
9526,WK050311,Wijk 11 Binnenstad,act col per,0.0945146,0.11556500000000001,0.13661600000000002
9527,WK050311,Wijk 11 Binnenstad,act fat per,0.05921130000000001,0.0769029,0.0945946
9530,WK050311,Wijk 11 Binnenstad,biggest party,0.290135,0.25549,0.220844
9531,WK050311,Wijk 11 Binnenstad,biggest party name,4.0,4.0,4.0
9540,WK050312,Wijk 12 Vrijenban,act ind per,0.24849699999999997,0.23710599999999998,0.225714
9541,WK050312,Wijk 12 Vrijenban,act ega per,0.316232,0.333831,0.351429
9542,WK050312,Wijk 12 Vrijenban,act col per,0.165932,0.154394,0.14285699999999998
9543,WK050312,Wijk 12 Vrijenban,act fat per,0.20481,0.217167,0.22952399999999998
9546,WK050312,Wijk 12 Vrijenban,biggest party,0.185972,0.148015,0.17619
9547,WK050312,Wijk 12 Vrijenban,biggest party name,3.0,6.0,6.0
9556,WK050313,Wijk 13 Hof van Delft,act ind per,0.272567,0.249756,0.226944
9557,WK050313,Wijk 13 Hof van Delft,act ega per,0.43121099999999996,0.43575,0.44028900000000004
9558,WK050313,Wijk 13 Hof van Delft,act col per,0.129693,0.136988,0.144284
9559,WK050313,Wijk 13 Hof van Delft,act fat per,0.11698199999999999,0.134883,0.152784
9562,WK050313,Wijk 13 Hof van Delft,biggest party,0.21125100000000002,0.19413,0.19230799999999998
9563,WK050313,Wijk 13 Hof van Delft,biggest party name,4.0,4.0,6.0
9572,WK050314,Wijk 14 Voordijkshoorn,act ind per,0.300252,0.299055,0.297858
9573,WK050314,Wijk 14 Voordijkshoorn,act ega per,0.355481,0.326669,0.297858
9574,WK050314,Wijk 14 Voordijkshoorn,act col per,0.141295,0.14996500000000001,0.158635
9575,WK050314,Wijk 14 Voordijkshoorn,act fat per,0.155873,0.172649,0.189424
9578,WK050314,Wijk 14 Voordijkshoorn,biggest party,0.17213299999999998,0.169735,0.16733599999999998
9579,WK050314,Wijk 14 Voordijkshoorn,biggest party name,1.0,1.0,1.0
9588,WK050316,Wijk 16 Delftse Hout,act ind per,0.320778,0.320778,0.320778
9589,WK050316,Wijk 16 Delftse Hout,act ega per,0.344319,0.344319,0.344319
9590,WK050316,Wijk 16 Delftse Hout,act col per,0.134537,0.134537,0.134537
9591,WK050316,Wijk 16 Delftse Hout,act fat per,0.169326,0.169326,0.169326
9594,WK050316,Wijk 16 Delftse Hout,biggest party,0.21457800000000002,0.21457800000000002,0.21457800000000002
9595,WK050316,Wijk 16 Delftse Hout,biggest party name,1.0,1.0,1.0
9604,WK050322,Wijk 22 Tanthof West,act ind per,0.335581,0.289936,0.244292
9605,WK050322,Wijk 22 Tanthof West,act ega per,0.259176,0.258583,0.25799099999999997
9606,WK050322,Wijk 22 Tanthof West,act col per,0.140075,0.146521,0.152968
9607,WK050322,Wijk 22 Tanthof West,act fat per,0.19325799999999999,0.22619499999999998,0.25913200000000003
9610,WK050322,Wijk 22 Tanthof West,biggest party,0.21722800000000003,0.185098,0.192922
9611,WK050322,Wijk 22 Tanthof West,biggest party name,1.0,1.0,12.0
9620,WK050323,Wijk 23 Tanthof Oost,act ind per,0.29102,0.23542399999999997,0.179828
9621,WK050323,Wijk 23 Tanthof Oost,act ega per,0.308318,0.30995300000000003,0.31158800000000003
9622,WK050323,Wijk 23 Tanthof Oost,act col per,0.16331700000000002,0.183375,0.203433
9623,WK050323,Wijk 23 Tanthof Oost,act fat per,0.176545,0.21144899999999997,0.246352
9626,WK050323,Wijk 23 Tanthof Oost,biggest party,0.166115,0.138895,0.17038599999999998
9627,WK050323,Wijk 23 Tanthof Oost,biggest party name,1.0,6.0,12.0
9636,WK050324,Wijk 24 Voorhof,act ind per,0.271316,0.259493,0.247669
9637,WK050324,Wijk 24 Voorhof,act ega per,0.405553,0.386083,0.366614
9638,WK050324,Wijk 24 Voorhof,act col per,0.129427,0.14078800000000002,0.152149
9639,WK050324,Wijk 24 Voorhof,act fat per,0.134893,0.157394,0.179895
9642,WK050324,Wijk 24 Voorhof,biggest party,0.187582,0.162929,0.138276
9643,WK050324,Wijk 24 Voorhof,biggest party name,4.0,4.0,4.0
9652,WK050325,Wijk 25 Buitenhof,act ind per,0.272298,0.25132600000000005,0.230354
9653,WK050325,Wijk 25 Buitenhof,act ega per,0.32398000000000005,0.319652,0.315324
9654,WK050325,Wijk 25 Buitenhof,act col per,0.17766600000000002,0.17883800000000002,0.18001
9655,WK050325,Wijk 25 Buitenhof,act fat per,0.16306400000000001,0.18971,0.216356
9658,WK050325,Wijk 25 Buitenhof,biggest party,0.15404400000000001,0.130313,0.146857
9659,WK050325,Wijk 25 Buitenhof,biggest party name,1.0,1.0,12.0
9668,WK050326,Wijk 26 Abtswoude,act ind per,0.320778,0.320778,0.320778
9669,WK050326,Wijk 26 Abtswoude,act ega per,0.344319,0.344319,0.344319
9670,WK050326,Wijk 26 Abtswoude,act col per,0.134537,0.134537,0.134537
9671,WK050326,Wijk 26 Abtswoude,act fat per,0.169326,0.169326,0.169326
9674,WK050326,Wijk 26 Abtswoude,biggest party,0.21457800000000002,0.21457800000000002,0.21457800000000002
9675,WK050326,Wijk 26 Abtswoude,biggest party name,1.0,1.0,1.0
9684,WK050327,Wijk 27 Schieweg,act ind per,0.292162,0.271825,0.251488
9685,WK050327,Wijk 27 Schieweg,act ega per,0.42755299999999996,0.40574099999999996,0.383929
9686,WK050327,Wijk 27 Schieweg,act col per,0.12351500000000001,0.151043,0.178571
9687,WK050327,Wijk 27 Schieweg,act fat per,0.110451,0.127398,0.144345
9690,WK050327,Wijk 27 Schieweg,biggest party,0.20783800000000002,0.176092,0.166667
9691,WK050327,Wijk 27 Schieweg,biggest party name,4.0,4.0,6.0
9700,WK050328,Wijk 28 Wippolder,act ind per,0.25006100000000003,0.246709,0.24335700000000002
9701,WK050328,Wijk 28 Wippolder,act ega per,0.483808,0.45237799999999995,0.42094799999999993
9702,WK050328,Wijk 28 Wippolder,act col per,0.101047,0.120275,0.139504
9703,WK050328,Wijk 28 Wippolder,act fat per,0.12016099999999999,0.14179,0.163419
9706,WK050328,Wijk 28 Wippolder,biggest party,0.269905,0.228398,0.186891
9707,WK050328,Wijk 28 Wippolder,biggest party name,4.0,4.0,4.0
9716,WK050329,Wijk 29 Ruiven,act ind per,0.320778,0.320778,0.320778
9717,WK050329,Wijk 29 Ruiven,act ega per,0.344319,0.344319,0.344319
9718,WK050329,Wijk 29 Ruiven,act col per,0.134537,0.134537,0.134537
9719,WK050329,Wijk 29 Ruiven,act fat per,0.169326,0.169326,0.169326
9722,WK050329,Wijk 29 Ruiven,biggest party,0.21457800000000002,0.21457800000000002,0.21457800000000002
9723,WK050329,Wijk 29 Ruiven,biggest party name,1.0,1.0,1.0
9732,WK001000,Wijk 00 Stad,act ind per,0.316784,0.281206,0.245627
9733,WK001000,Wijk 00 Stad,act ega per,0.188304,0.157699,0.127093
9734,WK001000,Wijk 00 Stad,act col per,0.24756799999999998,0.223523,0.199479
9735,WK001000,Wijk 00 Stad,act fat per,0.177793,0.197196,0.216598
9738,WK001000,Wijk 00 Stad,biggest party,0.157889,0.125372,0.157611
9739,WK001000,Wijk 00 Stad,biggest party name,5.0,5.0,14.0
9748,WK001001,Wijk 01 Land,act ind per,0.335025,0.267892,0.200758
9749,WK001001,Wijk 01 Land,act ega per,0.192893,0.153265,0.11363599999999999
9750,WK001001,Wijk 01 Land,act col per,0.23604099999999997,0.225975,0.21590900000000002
9751,WK001001,Wijk 01 Land,act fat per,0.149746,0.144949,0.140152
9754,WK001001,Wijk 01 Land,biggest party,0.190355,0.163581,0.299242
9755,WK001001,Wijk 01 Land,biggest party name,1.0,14.0,14.0
9764,WK001002,Wijk 02,act ind per,0.35683200000000004,0.35683200000000004,0.35683200000000004
9765,WK001002,Wijk 02,act ega per,0.176675,0.176675,0.176675
9766,WK001002,Wijk 02,act col per,0.252393,0.252393,0.252393
9767,WK001002,Wijk 02,act fat per,0.147955,0.147955,0.147955
9770,WK001002,Wijk 02,biggest party,0.201915,0.201915,0.201915
9771,WK001002,Wijk 02,biggest party name,2.0,2.0,2.0
9780,WK001003,Wijk 03,act ind per,0.389277,0.32651199999999997,0.263746
9781,WK001003,Wijk 03,act ega per,0.170163,0.133621,0.097079
9782,WK001003,Wijk 03,act col per,0.251748,0.210067,0.16838499999999998
9783,WK001003,Wijk 03,act fat per,0.135198,0.152221,0.169244
9786,WK001003,Wijk 03,biggest party,0.194639,0.1512,0.286082
9787,WK001003,Wijk 03,biggest party name,2.0,14.0,14.0
9796,WK076200,Wijk 00 Deurne,act ind per,0.404685,0.370209,0.335733
9797,WK076200,Wijk 00 Deurne,act ega per,0.182003,0.175996,0.169989
9798,WK076200,Wijk 00 Deurne,act col per,0.188092,0.17488800000000002,0.161683
9799,WK076200,Wijk 00 Deurne,act fat per,0.167456,0.203329,0.23920300000000003
9802,WK076200,Wijk 00 Deurne,biggest party,0.240866,0.195276,0.182355
9803,WK076200,Wijk 00 Deurne,biggest party name,1.0,1.0,2.0
9812,WK076201,Wijk 01 Vlierden,act ind per,0.523183,0.523183,0.523183
9813,WK076201,Wijk 01 Vlierden,act ega per,0.147347,0.147347,0.147347
9814,WK076201,Wijk 01 Vlierden,act col per,0.146901,0.146901,0.146901
9815,WK076201,Wijk 01 Vlierden,act fat per,0.14601,0.14601,0.14601
9818,WK076201,Wijk 01 Vlierden,biggest party,0.278645,0.278645,0.278645
9819,WK076201,Wijk 01 Vlierden,biggest party name,1.0,1.0,1.0
9828,WK076202,Wijk 02 Liessel,act ind per,0.528365,0.511868,0.49537
9829,WK076202,Wijk 02 Liessel,act ega per,0.113462,0.113444,0.113426
9830,WK076202,Wijk 02 Liessel,act col per,0.145673,0.128392,0.11111099999999999
9831,WK076202,Wijk 02 Liessel,act fat per,0.15240399999999998,0.183069,0.21373499999999998
9834,WK076202,Wijk 02 Liessel,biggest party,0.274038,0.285975,0.320988
9835,WK076202,Wijk 02 Liessel,biggest party name,1.0,2.0,2.0
9844,WK076203,Wijk 03 Neerkant,act ind per,0.521964,0.516788,0.511612
9845,WK076203,Wijk 03 Neerkant,act ega per,0.138674,0.123982,0.10929000000000001
9846,WK076203,Wijk 03 Neerkant,act col per,0.11455599999999999,0.0968957,0.079235
9847,WK076203,Wijk 03 Neerkant,act fat per,0.16279100000000002,0.19580799999999998,0.228825
9850,WK076203,Wijk 03 Neerkant,biggest party,0.283376,0.281936,0.327869
9851,WK076203,Wijk 03 Neerkant,biggest party name,1.0,2.0,2.0
9860,WK076204,Wijk 04 Helenaveen,act ind per,0.530578,0.54255,0.554521
9861,WK076204,Wijk 04 Helenaveen,act ega per,0.152066,0.126565,0.101064
9862,WK076204,Wijk 04 Helenaveen,act col per,0.133884,0.11481400000000001,0.0957447
9863,WK076204,Wijk 04 Helenaveen,act fat per,0.140496,0.166658,0.19281900000000002
9866,WK076204,Wijk 04 Helenaveen,biggest party,0.310744,0.28365300000000004,0.359043
9867,WK076204,Wijk 04 Helenaveen,biggest party name,1.0,2.0,2.0
9876,WK015001,Wijk 1 Binnenstad,act ind per,0.26576,0.24361,0.22146
9877,WK015001,Wijk 1 Binnenstad,act ega per,0.46921499999999994,0.468684,0.468153
9878,WK015001,Wijk 1 Binnenstad,act col per,0.15401600000000001,0.16838499999999998,0.182754
9879,WK015001,Wijk 1 Binnenstad,act fat per,0.07664030000000001,0.0929503,0.10926
9882,WK015001,Wijk 1 Binnenstad,biggest party,0.19739,0.219592,0.24179299999999998
9883,WK015001,Wijk 1 Binnenstad,biggest party name,6.0,6.0,6.0
9892,WK015002,Wijk 2 De Hoven,act ind per,0.244402,0.244402,0.244402
9893,WK015002,Wijk 2 De Hoven,act ega per,0.40755,0.40755,0.40755
9894,WK015002,Wijk 2 De Hoven,act col per,0.212412,0.212412,0.212412
9895,WK015002,Wijk 2 De Hoven,act fat per,0.09085089999999998,0.09085089999999998,0.09085089999999998
9898,WK015002,Wijk 2 De Hoven,biggest party,0.168266,0.168266,0.168266
9899,WK015002,Wijk 2 De Hoven,biggest party name,6.0,6.0,6.0
9908,WK015003,Wijk 3 Zandweerd,act ind per,0.23404899999999998,0.204395,0.174742
9909,WK015003,Wijk 3 Zandweerd,act ega per,0.365836,0.377506,0.389175
9910,WK015003,Wijk 3 Zandweerd,act col per,0.21474899999999997,0.22941,0.24407199999999998
9911,WK015003,Wijk 3 Zandweerd,act fat per,0.13942100000000002,0.148448,0.157474
9914,WK015003,Wijk 3 Zandweerd,biggest party,0.145902,0.169449,0.200773
9915,WK015003,Wijk 3 Zandweerd,biggest party name,4.0,6.0,6.0
9924,WK015004,Wijk 4 Voorstad,act ind per,0.195222,0.18246800000000002,0.169713
9925,WK015004,Wijk 4 Voorstad,act ega per,0.413509,0.426728,0.43994799999999995
9926,WK015004,Wijk 4 Voorstad,act col per,0.20527199999999998,0.21073000000000003,0.21618800000000002
9927,WK015004,Wijk 4 Voorstad,act fat per,0.137727,0.14432,0.15091400000000002
9930,WK015004,Wijk 4 Voorstad,biggest party,0.146787,0.179268,0.21174899999999997
9931,WK015004,Wijk 4 Voorstad,biggest party name,6.0,6.0,6.0
9940,WK015005,Wijk 5 Borgele en Platvoet,act ind per,0.2792,0.255824,0.232449
9941,WK015005,Wijk 5 Borgele en Platvoet,act ega per,0.278906,0.274941,0.270976
9942,WK015005,Wijk 5 Borgele en Platvoet,act col per,0.2386,0.249865,0.26113000000000003
9943,WK015005,Wijk 5 Borgele en Platvoet,act fat per,0.137982,0.163383,0.18878399999999998
9946,WK015005,Wijk 5 Borgele en Platvoet,biggest party,0.159164,0.138872,0.16780799999999998
9947,WK015005,Wijk 5 Borgele en Platvoet,biggest party name,1.0,1.0,7.0
9956,WK015006,Wijk 6 Keizerslanden,act ind per,0.241432,0.22152800000000003,0.201624
9957,WK015006,Wijk 6 Keizerslanden,act ega per,0.316965,0.331013,0.345061
9958,WK015006,Wijk 6 Keizerslanden,act col per,0.22438200000000003,0.23736,0.250338
9959,WK015006,Wijk 6 Keizerslanden,act fat per,0.161637,0.163588,0.16553900000000002
9962,WK015006,Wijk 6 Keizerslanden,biggest party,0.146974,0.137964,0.17771800000000001
9963,WK015006,Wijk 6 Keizerslanden,biggest party name,3.0,7.0,7.0
9972,WK015007,Wijk 7 Rivierenwijk en Bergweide,act ind per,0.195161,0.178807,0.162453
9973,WK015007,Wijk 7 Rivierenwijk en Bergweide,act ega per,0.42276,0.415483,0.408206
9974,WK015007,Wijk 7 Rivierenwijk en Bergweide,act col per,0.176815,0.1974,0.217986
9975,WK015007,Wijk 7 Rivierenwijk en Bergweide,act fat per,0.16564700000000002,0.175447,0.185247
9978,WK015007,Wijk 7 Rivierenwijk en Bergweide,biggest party,0.167509,0.152756,0.157895
9979,WK015007,Wijk 7 Rivierenwijk en Bergweide,biggest party name,13.0,13.0,7.0
9988,WK015008,Wijk 8 Colmschate Noord,act ind per,0.24191100000000001,0.22470700000000002,0.20750300000000002
9989,WK015008,Wijk 8 Colmschate Noord,act ega per,0.297689,0.282008,0.266327
9990,WK015008,Wijk 8 Colmschate Noord,act col per,0.219414,0.23106,0.24270500000000003
9991,WK015008,Wijk 8 Colmschate Noord,act fat per,0.168259,0.199692,0.23112600000000003
9994,WK015008,Wijk 8 Colmschate Noord,biggest party,0.146071,0.119931,0.14821700000000002
9995,WK015008,Wijk 8 Colmschate Noord,biggest party name,3.0,6.0,7.0
10004,WK015009,Wijk 9 Colmschate Vijfhoek,act ind per,0.354639,0.326897,0.299155
10005,WK015009,Wijk 9 Colmschate Vijfhoek,act ega per,0.339377,0.331731,0.32408400000000004
10006,WK015009,Wijk 9 Colmschate Vijfhoek,act col per,0.16576,0.181731,0.197702
10007,WK015009,Wijk 9 Colmschate Vijfhoek,act fat per,0.10184299999999999,0.124626,0.14740899999999998
10010,WK015009,Wijk 9 Colmschate Vijfhoek,biggest party,0.23421,0.208911,0.183612
10011,WK015009,Wijk 9 Colmschate Vijfhoek,biggest party name,1.0,1.0,1.0
10020,WK015010,Wijk 10 Colmschate Zuid,act ind per,0.347734,0.31838099999999997,0.289028
10021,WK015010,Wijk 10 Colmschate Zuid,act ega per,0.267422,0.265119,0.262816
10022,WK015010,Wijk 10 Colmschate Zuid,act col per,0.196742,0.201595,0.20644899999999997
10023,WK015010,Wijk 10 Colmschate Zuid,act fat per,0.134561,0.166329,0.198098
10026,WK015010,Wijk 10 Colmschate Zuid,biggest party,0.205382,0.180283,0.155184
10027,WK015010,Wijk 10 Colmschate Zuid,biggest party name,1.0,1.0,1.0
10036,WK015011,Wijk 11 Diepenveen,act ind per,0.426163,0.39268800000000004,0.359212
10037,WK015011,Wijk 11 Diepenveen,act ega per,0.313768,0.326834,0.3399
10038,WK015011,Wijk 11 Diepenveen,act col per,0.153294,0.155056,0.156817
10039,WK015011,Wijk 11 Diepenveen,act fat per,0.0711833,0.09256339999999999,0.113944
10042,WK015011,Wijk 11 Diepenveen,biggest party,0.270059,0.23448899999999998,0.198919
10043,WK015011,Wijk 11 Diepenveen,biggest party name,1.0,1.0,1.0
10052,WK015012,Wijk 12 Schalkhaar,act ind per,0.463855,0.437375,0.41089499999999995
10053,WK015012,Wijk 12 Schalkhaar,act ega per,0.286418,0.279212,0.27200599999999997
10054,WK015012,Wijk 12 Schalkhaar,act col per,0.12897,0.138619,0.148268
10055,WK015012,Wijk 12 Schalkhaar,act fat per,0.0807777,0.109473,0.138167
10058,WK015012,Wijk 12 Schalkhaar,biggest party,0.247536,0.21792399999999998,0.18831199999999998
10059,WK015012,Wijk 12 Schalkhaar,biggest party name,1.0,1.0,1.0
10068,WK015013,Wijk 13 Okkenbroek,act ind per,0.5512050000000001,0.504926,0.458646
10069,WK015013,Wijk 13 Okkenbroek,act ega per,0.186747,0.17795999999999998,0.169173
10070,WK015013,Wijk 13 Okkenbroek,act col per,0.123494,0.125657,0.12782000000000002
10071,WK015013,Wijk 13 Okkenbroek,act fat per,0.0873494,0.14141900000000002,0.19548900000000002
10074,WK015013,Wijk 13 Okkenbroek,biggest party,0.304217,0.293086,0.281955
10075,WK015013,Wijk 13 Okkenbroek,biggest party name,2.0,2.0,2.0
10084,WK015014,Wijk 14 Lettele,act ind per,0.608051,0.573462,0.538874
10085,WK015014,Wijk 14 Lettele,act ega per,0.200212,0.196621,0.193029
10086,WK015014,Wijk 14 Lettele,act col per,0.10169500000000001,0.109829,0.11796199999999998
10087,WK015014,Wijk 14 Lettele,act fat per,0.049788099999999995,0.08186460000000001,0.11394100000000001
10090,WK015014,Wijk 14 Lettele,biggest party,0.387712,0.394258,0.400804
10091,WK015014,Wijk 14 Lettele,biggest party name,2.0,2.0,2.0
10100,WK015015,Wijk 15 Bathmen,act ind per,0.5300630000000001,0.49168900000000004,0.45331499999999997
10101,WK015015,Wijk 15 Bathmen,act ega per,0.223899,0.210732,0.19756400000000002
10102,WK015015,Wijk 15 Bathmen,act col per,0.127296,0.138073,0.14885
10103,WK015015,Wijk 15 Bathmen,act fat per,0.0802516,0.121824,0.163396
10106,WK015015,Wijk 15 Bathmen,biggest party,0.335597,0.289416,0.243234
10107,WK015015,Wijk 15 Bathmen,biggest party name,1.0,1.0,1.0
10116,WK038400,Wijk 00 Diemen Zuid,act ind per,0.244919,0.20302,0.16112
10117,WK038400,Wijk 00 Diemen Zuid,act ega per,0.324909,0.350099,0.375288
10118,WK038400,Wijk 00 Diemen Zuid,act col per,0.186556,0.184052,0.181549
10119,WK038400,Wijk 00 Diemen Zuid,act fat per,0.14538800000000002,0.17879,0.212191
10122,WK038400,Wijk 00 Diemen Zuid,biggest party,0.16154200000000002,0.160855,0.191433
10123,WK038400,Wijk 00 Diemen Zuid,biggest party name,1.0,6.0,6.0
10132,WK038401,Wijk 01 Diemen Centrum,act ind per,0.267432,0.228109,0.18878699999999998
10133,WK038401,Wijk 01 Diemen Centrum,act ega per,0.391439,0.40025900000000003,0.40908
10134,WK038401,Wijk 01 Diemen Centrum,act col per,0.141218,0.14528,0.149343
10135,WK038401,Wijk 01 Diemen Centrum,act fat per,0.12709600000000001,0.160546,0.193997
10138,WK038401,Wijk 01 Diemen Centrum,biggest party,0.200574,0.192672,0.21632300000000002
10139,WK038401,Wijk 01 Diemen Centrum,biggest party name,1.0,6.0,6.0
10148,WK038402,Wijk 02 Diemen Noord,act ind per,0.33925900000000003,0.28366199999999997,0.228064
10149,WK038402,Wijk 02 Diemen Noord,act ega per,0.298765,0.306924,0.315083
10150,WK038402,Wijk 02 Diemen Noord,act col per,0.147901,0.151543,0.155185
10151,WK038402,Wijk 02 Diemen Noord,act fat per,0.143951,0.189452,0.23495300000000002
10154,WK038402,Wijk 02 Diemen Noord,biggest party,0.26,0.20904299999999998,0.176215
10155,WK038402,Wijk 02 Diemen Noord,biggest party name,1.0,1.0,12.0
10164,WK177410,Wijk 10 Denekamp,act ind per,0.551111,0.496403,0.441695
10165,WK177410,Wijk 10 Denekamp,act ega per,0.145812,0.13538699999999998,0.12496099999999999
10166,WK177410,Wijk 10 Denekamp,act col per,0.128889,0.136978,0.145066
10167,WK177410,Wijk 10 Denekamp,act fat per,0.141026,0.193618,0.246211
10170,WK177410,Wijk 10 Denekamp,biggest party,0.284103,0.274281,0.26446
