id,Country,Time,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
GM0163,Hellendoorn,Biggest Party,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0164,Hengelo,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0166,Kampen,Biggest Party,2.0,2.0,14.0,14.0,14.0,14.0,14.0,14.0,3.0,3.0,3.0
GM0168,Losser,Biggest Party,2.0,2.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0171,Noordoostpolder,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0173,Oldenzaal,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0175,Ommen,Biggest Party,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
GM0177,Raalte,Biggest Party,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0180,Staphorst,Biggest Party,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
GM0183,Tubbergen,Biggest Party,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0184,Urk,Biggest Party,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
GM0189,Wierden,Biggest Party,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0193,Zwolle,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0196,Rijnwaarden,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,1.0,3.0,3.0,3.0,3.0
GM0197,Aalten,Biggest Party,2.0,2.0,2.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,1.0
GM0200,Apeldoorn,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0202,Arnhem,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GM0203,Barneveld,Biggest Party,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
GM0209,Beuningen,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0213,Brummen,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0214,Buren,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0216,Culemborg,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0
GM0221,Doesburg,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,3.0,3.0
GM0222,Doetinchem,Biggest Party,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,1.0
GM0225,Druten,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0226,Duiven,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0228,Ede,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0230,Elburg,Biggest Party,2.0,2.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0232,Epe,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0233,Ermelo,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0236,Geldermalsen,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0243,Harderwijk,Biggest Party,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0244,Hattem,Biggest Party,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GM0246,Heerde,Biggest Party,2.0,2.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0
